Item_Iden,Item_Weig,Item_Fat_,Item_Visib,Item_Type,Item_MRP,Outlet_Ide,Outlet_Est,Outlet_Siz,Lo_Outlet_,Typ_Item_O,Item_Sales
FDN10,18.755970294324975,LF,0.02400873313482235,Health and Hygiene,121.62722736244123,OUT018,1991,Med,Tier 3,Grocery Store ,562.5821384961182
DRC09,6.903264722617019,Low Fat,0.2315202479403069,Fruits and Veggies,160.48542133820993,OUT010,1999,Very High,Tier 2,Hypermarket,1290.48003859336
FDX04,11.962922277247683,No Fat,0.06993167381777994,Others,110.8801862072556,OUT052,1991,Medium,Tier 1,Shopping Complex,623.2323969669083
FDX17,13.008262431568996,LF,0.03276419199348323,Canned,162.6586857641367,OUT025,1997,High,Tier 2,Shopping Complex,1120.1441678740232
DRC11,17.172002963288364,low fat,0.03780087004068073,Baking Goods,157.63568466449036,OUT006,2006,Mega,Tier 2,Hypermarket,915.8007151238095
FDN11,15.493382726372124,No Fat,0.023941707322377062,Meat,97.2789047263737,OUT036,1999,Medium,Rural,Hypermarket,
FDN15,23.02105014598137,reg,0.07343085964991292,Meat,153.2415484911715,OUT037,1991,Small,Rural,Shopping Complex,1061.85676844634
FDX12,16.216520797246083,Regular,0.23665615028290066,Meat,179.78934836350862,OUT015,1994,High,Tier 3,Hypermarket,1395.7625296116248
DRC05,13.396181616589432,Low Fat,0.03273601588772307,Health and Hygiene,83.82416762321029,OUT042,1995,Medium,Tier 2,Supermarket,1197.7605482352635
FDX17,13.730799289437158,No Fat,0.04104463475263529,Vegetables,165.90718176118935,OUT033,1990,Small,Tier 1,Shopping Complex,60.0
FDA08,12.376499677761307,low fat,0.06698577208300965,Household,180.43268906324883,OUT022,1998,Small,Tier 2,Hypermarket,890.095239227367
FDX05,6.504496423702409,LF,0.05846367037108956,Meat,106.89917478990303,OUT037,1997,Very High,Rural,DCO,971.1976932290866
FDN10,14.459404870123851,LF,0.17239241371284414,Breads,61.23886347448715,OUT048,2006, Medium ,Tier 3,Grocery Store,60.0
FDN16,17.720241777916236,LF,0.049895488162639834,Meat,119.17143433590114,OUT020,1997,Small,Tier 3,Supermarket,1270.0560629677198
DRC09,8.734986864580655,reg,0.10288934607693964,Health and Hygiene,110.5790151048332,OUT039,2001,Medium,Tier 1,Hypermarket,120.1834150929842
FDA04,13.87807807433366,No Fat,0.04849253994224208,Dairy,25.0,OUT040,2004,Very High,Tier 3,Shopping Complex,60.0
DRC11,13.041941446092109,low fat,0.07371483193837201,Soft Drinks,182.7814592619012,OUT058,2001,Small,Tier 3,Shopping Complex,414.64980792097117
FDN04,15.390536777474377,Regular,0.07286713098424996,Soft Drinks,112.49835713185527,OUT037,1997,High,Tier 1,Supermarket,272.731182938603
DRC02,13.600722993633063,No Fat,0.03246635559371281,Vegetables,148.15714868210182,OUT056,1991,Small,Rural,Grocery Store,1160.4317686671495
DRC06,13.150550641893297,Regular,0.08178725072197356,Meat,148.42264241522025,OUT035,2000,Small,Tier 2,DCO ,204.08979741172186
DRC03,16.047230667117336,low fat,0.06907842595122717,Breakfast,58.16394382350275,OUT030,2001,Medium,Tier 1,Shopping Complex,308.91000070902635
FDN16,12.17759444354414,,0.1223024526469165,Dairy,175.70716423369942,OUT056,2002,Very High,Tier 1,DCO,1474.858032066499
FDA22,8.83127266116216,Regular,0.036953687021373326,Frozen Foods,141.27888925253885,OUT043,2003,Medim,Tier_2,Supermarket,911.2457572681689
DRC04,19.443533785798223,Low Fat,0.12460988543568946,Meat,120.35716466222583,OUT011,1999,Medium,Tier 2,Shopping Complex,1107.5190975258495
FDX02,5.989876008044402,No Fat,0.07168950146981055,Hard Drinks,138.5796985220013,OUT032,1999,High,THIRD TIER,DCO,1105.6045928682738
FDA08,13.841248237877172,No Fat,0.04783943270145754,Frozen Foods,85.45245438554524,OUT033,2007,Medium,Tier 1,Supermarket,213.67894571626536
FDX05,15.793469381533626,Regular,0.2685262071365443,Breakfast,186.7636325319231,OUT005,2003,Very High,Tir 3,Hypermarket,590.1362533807591
FDN14,6.380937992652518,Regular,0.07880631261410968,Canned,184.2630609841307,OUT013,1999,Small,Tier 2,Grocery Store,920.1019643945162
DRC11,,Regular,0.04161937135618409,Breakfast,117.3588369271985,OUT053,2007,Large,Tier 3,Grocery Store,686.2884491072939
FDN09,12.678683631704107,reg,0.030442112522564995,Snack Foods,191.56726427766574,OUT057,2007,Very High,Tier 2,Supermarket,1826.1298832442076
FDN15,10.490687910608717,Regular,0.0511892749567027,Household,125.31481308170412,OUT006,2002,Small,Tier 3,DCO,539.3398070056624
FDA19,13.084194999360312,LF ,0.009470766300190682,Breakfast,188.55031997918724,OUT017,2006,Medium,Tier 2,Shopping Complex,1658.7922977894755
FDA24,12.670552737810402,Regular,0.046543647544626233,Snack Foods,128.7922944020122,OUT002,2001,Small,Tier_2,Grocery Store,105.3111152512007
FDA04,9.846628517306252,reg,0.035850812385562675,Health and Hygiene,202.02824691889265,OUT020,2004,Very High,Tier 1,Supermarket,1174.9192184678545
FDX14,13.510375633974805,No Fat,0.06797904738545628,Snack Foods,98.92023061848727,OUT010,1993,Very High,Rural,DCO,1005.7111372316165
DRC01,11.998013049221134,Regular,0.05615594736061773,Fruits and Veggies,89.4368097743251,OUT025,2006,Medium,Tier 2,Grocery Store,657.2794640647846
FDN14,15.123742489558575,low fat,,Others,191.2276172841332,OUT026,2004,High,Tier 3,Shopping Complex,2068.4283094908374
FDA07,,LF,0.1949902044720415,Fruits and Veggies,157.52199937541033,OUT059,2002,Very High,Tier 3,Supermarket,1197.7189581831856
FDN07,14.95913695712806,Regular,0.07937077077673817,Meat,115.03199252532754,OUT036,1993,Very High,Tier 1,DCO,1382.5362721636398
DRC13,6.249858435623949,Regular,0.14278425694607844,Meat,165.44533019077667,OUT012,1994,High,Tier 1,Hypermarket,
FDA15,13.081219281238205,low fat,0.06755510974564459,Others,57.97682884703268,OUT016,1990,Small,Tier 2,Shopping Complex,1025.4145607404466
FDN03,9.754519989709646,Low Fat,0.1488335112283029,Others,172.6901999088723,OUT057,1992,High,Rural,Shopping Complex,976.3979812714317
DRC04,16.70165609092577,low fat,0.017145290140276985,Hard Drinks,176.83940876292448,OUT034,2007,High,Rural,Hypermarket,1105.3372001549628
FDN05,13.948809587612507,low fat,0.12855199565896666,Vegetables,218.05906503020879,OUT049,2007,Medium,Tier 2,Shopping Complex,107.29935964956712
FDN12,9.1167522924981,LF,0.14314641704662265,Breakfast,193.1930716881511,OUT027,2003,Very High,Tier 1,DCO,1019.9044641559428
FDX14,, Low Fat ,0.07582667454069567,Meat,220.98439928413458,OUT050,2006,High,Tier 3,Supermarket,1560.1666329743691
FDA17,16.012993728974372,Low Fat,0.036749834487838216,Fruits and Veggies,45.03256743172895,OUT032,1991,High,Tier 2,Grocery Store,338.6656538954584
FDA17,7.577522576948063,LF,0.03535871702352838,Hard Drinks,180.33963557974448,OUT003,1994,Very High,Tier 1,,1454.1776772686121
FDX07,21.207581491948503,LF,0.1382201208648241,Breakfast,159.11812554230892,OUT013,2001,Very High,Rural,Shopping Complex,543.6055027325372
DRC05,13.110699551513274,reg,0.20076700780221873,Hard Drinks,63.901595077343885,OUT007,2007,High,Tier 2,Grocery Store,1135.3657498864195
FDX03,9.076543918035064,low fat,,Canned,199.29357321500473,OUT025,1990,Medium,Tier 3,DCO,250.71433932914977
DRC08,15.669713422092995,No Fat,0.11408093504510297,Soft Drinks,133.81694227952352,OUT052,1996,Medium,Tier 2,Shopping Complex,958.9129455904645
DRC10,8.612056711172212,reg,0.09063349891086074,Vegetables,128.04799772352342,OUT001,1999,Small,Tier 3,Grocery Store,238.63736163800934
FDA06,0.22082354327950188,low fat,0.030918050650996357,Baking Goods,196.85465162840055,OUT041,1991,Very High,Tier 3,Grocery Store,1221.8932314134938
FDA14,15.934782435187195, LF ,0.12969899757426817,Soft Drinks,244.61248031011252,OUT014,1996,Medium,Rural,Supermarket,334.96486452056547
FDA09,18.591996915327982,reg,0.06238599357957757,Meat,214.3652532435901,OUT001,2006,Small,Tier 1,Supermarket,961.4327408868921
FDX08,14.826866372652148,LF,0.0820082042565036,Frozen Foods,95.4735956950021,OUT020,1997,High, Tier 2 ,DCO,1205.1214485556106
FDN14,7.100885294755532,No Fat,0.12335340985490563,Frozen Foods,133.95971298440196,OUT007,1995,Very High,Tier 3,Supermarket,745.7675486970469
FDN17,15.99585993022396,LF,0.019234035467284465,Hard Drinks,189.5758662892477,OUT056,2002,Small,Tier 1,Hypermarket,60.0
FDX17,5.373138572270825,No Fat,0.028961239453365605,Meat,165.3869562625795,OUT018,2007,Very High,Tier 3,Grocery Store,909.0637832984854
FDA05,15.1225033261723,Regular,0.12179258710422097,Health and Hygiene,243.11402240686803,OUT049,1996,Medium,Tier 3,Supermarket,602.3351064090862
FDN09,13.36095128256173,No Fat,0.13727067136066665,Meat,270.72745564234316,OUT043,1996,Medium,Tier 1,Supermarket,1158.7439485941507
FDX14,7.2413502064275646,Regular,0.07052474728062605,Baking Goods,,OUT054,1998,Medium,Tier 2,DCO,899.6493336900055
FDN06,5.888765327108572,LF,0.02636437544116775,Meat,180.09333710021303,OUT039,1995,SML,Tier 1,Supermarket,1743.9164913025925
DRC02,12.028467166177348, LF ,0.12079869866724915,Health and Hygiene,254.68394523430163,OUT012,2000,Medium,Tier 2,Hypermarket,847.0154925063505
DRC01,16.792816372215018,reg,0.05869862004039855,Hard Drinks,90.92805227852607,OUT012,2001,High,Rural,Hypermarket,1073.5279403740283
DRC05,10.947306515763385,Regular,0.07718019439530413,Meat,127.87143609765648,OUT036,1995,High ,Tier 1,Grocery Store,70.55591578387964
FDA24,7.701142680318741,LF,0.1597210530868234,Meat,25.0,OUT019,1993,Small,Rural,Hypermarket,1444.1570714452532
DRC13,8.415534328114912,Low Fat,0.09768787999516906,Snack Foods,49.50327302736396,OUT048,2005,Small,Tier 2,Hypermarket,186.89867428314997
FDA19,24.785246028884686,low fat,0.05218209636326072,Meat,98.78880636912524,OUT031,2003,Medium, Tier 2 ,Grocery Store,387.27536707090417
DRC02,11.127509542095995,LF,0.06982275221766296,Breakfast,158.69504550453962,OUT055,2002,Medium,Tier 1,Grocery Store,612.5481710129596
FDA24,15.769659370786155,No Fat,0.04000875628940185,Meat,119.65915120846357,OUT047,2007,Medium,Tier 3,Shopping Complex,937.7212646538571
FDN03,20.566114974051402,LF,0.08165674267360953,Snack Foods,186.65859806384324,OUT046,1990,Medium,Tier 3,Grocery Store,60.0
FDX16,14.31255703627227,LF,0.0955365699250622,Hard Drinks,109.25114346993706,OUT043,1998,Very High,Tier 1,Supermarket,1257.5948385938186
FDX17,14.792397413878351,Low Fat,0.08383495338164017,Meat,166.12316341770514,OUT043,2000,Large,Tier 1,Hypermarket,881.4329106988591
FDX03,12.426910078543669,No Fat,0.08385916885916195,Meat,105.36693050353139,OUT026,1992,Small,Tier 2,Shopping Complex,631.8589494841225
FDN10,18.28982072854956,LF,0.054435386754759986,Meat,210.18859199922738,OUT045,2000,High,Zone A,Supermarket,1349.5653112793282
FDX13,9.237223176094966,reg,0.12079158996711288,Fruits and Veggies,171.07950642328612,OUT045,1998,Small,,Shopping Complex,
DRC05,11.114440506998214,reg,0.10556662583430611,Snack Foods,152.3353956191758,OUT029,1991,Very High,Rural,Hypermarket,704.7164632616648
DRC01,18.51296344652158,low fat,0.11418177822598849,Frozen Foods,117.27872275060714,OUT045,1994,High,Tier 3,Hypermarket,
DRC01,16.29760677236088,low fat,0.07098807926911886,Frozen Foods,182.05345374994306,OUT005,1994,High,THIRD TIER,DCO,504.15835647825907
FDN14,10.410989294627239,No Fat,0.053473904334003404,Breads,112.80204638989593,OUT049,1997,Medium,Tier_2,DCO,1001.2750161124915
FDX12,11.687468274667546,Low Fat,0.14762816469928663,Seafood,121.20515297253381,OUT011,2005,Small,Tier 1,Hypermarket,1125.7678125842976
FDN05,9.264684682446047,low fat,0.12971268794047872,Canned,26.950208286172042,OUT008,2003,Medium,Tier 1,Hypermarket,60.0
DRC11,12.902275291292986,LF,0.07689800136683286,Drinks,141.7416214033034,OUT011,1994,Large,Rural,Shopping Complex,899.0031634116185
FDN15,9.616145329483663,LF,0.07870532696945785,Household,107.78380350865021,OUT054,1995,Small, Rural ,DCO,679.0971462850143
FDN13,16.407334720387507,reg,0.04431611113671112,Meat,232.51139219742976,OUT043,1996,High,Tier 3,DCO,1042.7621629526247
DRC03,16.679011357898343,reg,0.03507873120833968,Meat,228.82730892292585,OUT018,1997,Medium, Tier 2 ,Supermarket,770.8976021476292
FDX04,14.893743871823112,LF,0.14113473274090108,Snack Foods,95.35393773311404,OUT027,2004,Medium,Countryside,Supermarket,1351.5654165613187
DRC10,11.677894624468474,LF,0.024325882955962896,Breakfast,124.93543051318036,OUT055,2000,High,Tier 2,Shopping Complex,1003.3219733940382
DRC07,6.967286557171739,reg,0.18473018739376018,Health and Hygiene,127.83347945564667,OUT038,2004,Very High,Rural,Grocery Store,906.6760304051828
FDA21,9.074977973527536,Regular,0.35,Meat,215.8894780599427,OUT049,1997,Very High,Countryside ,DCO,1618.0550154280459
FDN16,7.905145788418855,low fat,0.0532800154857674,Drinks,103.76891939819959,OUT017,2007,High ,Tier 3,DCO,409.2706943672735
FDA06,21.45825963887262,Regular,0.05808830734719375,Hard Drinks,66.17750921692527,OUT055,2002,Small,Tier 1,Hypermarket,859.0289542807739
FDA17,17.6515395523936,No Fat,0.1784929907638434,Fruits and Veggies,249.16237620132176,OUT004,2000,High,Tier 3,Supermarket,1334.992221867875
FDA21,11.526478186343992,low fat,0.1637091827892755,Vegetables,105.6497753349555,OUT044,1994,SML,Tier 2,DCO,60.0
DRC03,11.080247497044956,LF,0.0922050453828132,Meat,133.08355624925653,OUT024,1997,Medium,Tier 3,Supermarket,1079.270546399008
FDN07,12.070843932484689,low fat,0.13981694562060684,Health and Hygiene,93.46528520016665,OUT008,2005,Small,Tier 2,DCO,241.89880012536162
FDA24,14.962466724579672,No Fat,0.03218763995869193,Vegetables,146.87141825939946,OUT022,1993,Medium,Rural,Shopping Complex ,731.0825487940743
DRC10,8.851974019391635,LF,,Breads,56.265356677772274,OUT028,1990,Very High,Rural,Hypermarket,86.47234832660143
FDN06,10.503304465855003,Low Fat,0.10477131174726072,Health and Hygiene,175.57578320757582,OUT004,1996,Very High,Tier 2,Dist. Center,656.0344672264189
DRC11,19.416212972211063,Low Fat,0.07972578308653788,Baking Goods,151.0317675096028,OUT056,1992,High,Rural,Supermarket,1386.2724153948907
FDA24,19.014451915292447,reg,0.03839846589785785,Breads,183.52107646263835,OUT048,1996,Medium,Tier 2,DCO,1054.4073118460535
FDX17,12.300208082890162,No Fat,0.058055160001770696,Meat,169.16283124075736,OUT010,2006,Small,Tier 2,Shopping Complex,623.0086280454798
FDA04,12.197631869515517,Low Fat,0.0761713039644888,Baking Goods,147.49423768532068,OUT049,1996,High,Tier 2,Shopping Complex,1006.2712882020447
FDN09,15.348906235448695,LF,0.04743155796482703,Seafood,226.2258002944539,OUT041,1997,Medium,Tier 2,Hypermarket,1241.7792481180754
FDN14,15.719096362152637,No Fat,0.2049266362851931,Soft Drinks,140.99480962106247,OUT055,1993,small ,Rural,Shopping Complex,692.6370773469929
FDA23,14.639697712633426,Regular,0.12785078628554453,Dairy,166.90642189263906,OUT036,1996,Medium,Tier 2,DCO,1379.9899935279605
FDX17,11.569179791670983,reg,0.04533245135586927,Meat,150.79506938231813,OUT025,2004,Medium,Tier 1,Supermarket,1605.9185243440343
FDA13,16.924598984271338,No Fat ,0.08155991116976147,Health and Hygiene,147.63890582243775,OUT018,2001,Small,Tier 1,Hypermarket,1294.8999807743749
FDN03,11.716800321974656,Low Fat,0.09550520868869003,Meat,90.95153010674153,OUT011,2002,High ,Tier 3,Shopping Complex,497.16187550620776
FDX04,12.810543735458007,low fat,0.05160131995093325,Soft Drinks,89.60133375343989,OUT022,1994,High,Tier 2,DCO,521.8054871701067
DRC05,3.5,No Fat,0.0478719754672868,Frozen Foods,127.03532311672981,OUT023,1992,High,Rural,Grocery Store,225.18932430942908
FDN08,13.85771760643572,Low Fat,,Breads,172.19909610903505,OUT044,2002,Very High,Rural,Supermarket,706.7607351575767
FDN19,14.536687773120846,LF,0.05775198952417388,Seafood,132.5787964817614,OUT036,2001,Medium,Rural,DCO,2.749997633370299
FDA07,16.63373286130997,reg,0.08821189583931625,Meat,186.52487675932227,OUT045,2007,Very High,Tier 3,Shopping Complex,841.9146627428208
DRC07,20.447092270468755,Low Fat,0.12896674135150937,Dairy,81.87265148681014,OUT017,2002,Small,Rural,Shopping Complex,691.2095204420237
FDX15,12.475139220791332,Regular,0.05969600684943648,Canned,127.24870352275617,OUT037,1994,Small,Tier 3,Supermarket,826.5213758561264
DRC03,14.202454072759998,reg,0.061838504689482626,Seafood,85.36946505826405,OUT037,2005,Small,Tier 3,Shopping Complex,56812.99869906253
FDA24,12.929606390367844,Regular,0.022410409447398416,Vegetables,220.69587832080077,OUT032,1997,Medium,Rural,Grocery Store,748.8220408288712
FDA02,15.865688347184388,LF,0.059574592904447714,Health and Hygiene,157.83476638185948,OUT006,2000,High,Tier_2,Supermarket,468.6310977611676
FDA10,11.86556201704541,No Fat ,0.04385196788072292,Meat,146.9711749708067,OUT045,1996, Very High ,Rural,DCO,1532.4593583701321
FDN06,17.6307596221872,Low Fat,0.06313299753673327,Drinks,68.14155308266047,OUT002,1996,High,Tier 2,Grocery Store,452.90444214644083
DRC02,16.800395573686593,No Fat,0.07918518321139754,Health and Hygiene,166.3763885227935,OUT039,1993,Small,Rural,Grocery Store,1091.4145006157373
FDN04,16.683492169370133,Regular,0.024610341942323404,Health and Hygiene,100.53864516318042,OUT031,2003,Small,Tier 3,Hypermarket,461.53712824333655
FDA07,15.858141442152094,Low Fat,0.10048175556466488,Dairy,113.53054986247264,OUT053,1992,Mega,Rural Area,DCO,1227.5386178450394
FDN06,15.121808609269195,Low Fat,0.019115682441897784,Soft Drinks,,OUT054,1991,Small,Tier 1,Hypermarket,1534.9217439771417
FDA20,11.405134808670294,low fat,0.05761363598542832,Meat,144.63594763707562,OUT038,1994,Medium,Tier 1,Hypermarket,1463.7271294673342
DRC10,13.259959170888619,Regular,0.03841620560652781,Meat,903.8066207882928,OUT021,1997,High,Tier 1,Shopping Complex,1562.9424586595023
DRC02,12.269188807296382,LF,0.10686628468608082,Canned,213.81359386397037,OUT037,1993,Very High,Tier 2,DCO,773.4610535359427
FDA24,11.148032008387016, LF ,0.35,Hard Drinks,95.42019640516178,OUT036,2001,small ,,DCO,972.6779605659465
FDN03,11.308796109245122,reg,0.06926658111558141,Meat,207.50299775967596,OUT018,1990,High,Tier 3,GroceryStore,752.1480662090474
DRC05,14.893170519272777,low fat,0.014138948436522225,Meat,132.921473166155,OUT009,1990,Very High,Tier 1,Dist. Center,60.0
DRC08,8.07584149931367, Low Fat ,0.11313868495770231,Meat,242.21404731826016,OUT014,2007,Medium,Tier 2,DCO,1204.1201110117263
DRC08,12.210404414017438,LF,0.08211575754752819,Meat,115.66423733740915,OUT018,2004,Medium,Tier 2,Hypermarket,38.90494037341466
DRC04,12.20685325949452,Regular,0.01940142117861042,Frozen Foods,106.825020813442,OUT058,2001,Small,Rural,GroceryStore,644.6705740311979
FDN13,9.169920527053431,Regular,0.05406768042083413,Health and Hygiene,106.27814677087606,OUT042,2003,Medium,Tier 3,,42.88505684250674
FDA17,10.588849459440667, low fat ,0.046035491906120385,Baking Goods,79.222462340954,OUT028,2003,Medium,Tier 3,DCO,138.73888985388066
FDX04,10.039174113716811,LF,0.06942568558773443,Meat,199.20530871207387,OUT027,1999,Small,Tier 1,DCO,662.9334596128467
FDN13,66.50679759118421,Regular,0.1414670831647898,Meat,107.55802184083291,OUT028,1996,Medium,Tier 1,Supermarket,1070.2369795296145
FDA07,12.835001201744616,reg,0.0921314638851708,Meat,93.72505872820986,OUT013,2005,Medium,Rural,Supermarket,289.2908905490215
FDN02,13.75109163886157,Low Fat,0.022413008843521577,Vegetables,169.03859396679172,OUT034,2007,,Tier 1,Grocery Store,60.0
FDX12,13.32282584459355,No Fat,0.14672114483053258,Breakfast,143.7909111059823,OUT018,2000,Small,Tier 1 ,Grocery Store,1142.878328175897
FDA10,19.00243332010467,low fat,0.052824985909033215,Dairy,153.24972455304098,OUT055,2002,Mega,Rural ,Hypermarket,518.5906083937723
DRC13,10.440764952993709,Regular,0.058039124180241736,Others,190.53494657519008,OUT007,2006,Small,Tier 1,Grocery Store,60.0
FDX05,12.100484546238413,No Fat,0.07318290234633318,Frozen Foods,189.14744266766644,OUT026,1995,Very High,Tier 2,Hypermarket,1586.603779453354
FDX14,14.621700349632864,LF,0.10250671118852424,Meat,87.952269654345,OUT049,2002,High,Tier 2,DCO,
DRC13,19.067945794668617,LF,0.10041473346764962,Meat,176.741016296381,OUT004,2005, High ,Tier 2,DCO,1387.0120249661188
FDA23,10.98182105110828,LF,0.010953942984229291,Others,152.0329452747826,OUT001,1993,Medium,Tier 2 ,Supermarket,60.0
DRC05,19.19283526178583,low fat,0.05045832405913304,Dairy,77.61874175064142,OUT024,1990,Small,Tier 2,Supermarket,650.2416152497362
FDA23,16.21528987054162,No Fat,0.028235053508929835,Meat,140.4830305481497,OUT039,1997,Very High,Tier 2, DCO ,97.365099571403
FDA20,7.540426847999749,,0.017928920764380962,Meat,76.14302543846345,OUT014,2006,Medium,Tier 3,Supermarket,330.26052059272865
FDA07,17.221459027366457,low fat,0.07789271198925223,Starchy Foods,94.35574647662655,OUT050,1999,Medium,Rural,Shopping Complex,1003.8581216968633
FDN19,9.081788207007875, low fat ,0.08837658711694989,Fruits and Veggies,91.82055183340105,OUT007,1994,High,Tier 3,Shopping Complex,479.8321560663309
FDA15,10.351946768230896,Regular,0.04002852630548014,Drinks,172.98997768276826,OUT016,1991,Very High,Tier 1,Hypermarket,1294.7773825728837
FDA06,11.998931293647086,Regular,0.05335891983001516,Breads,194.3650808123899,OUT004,2004,Medium,Tier 1,Supermarket,425.35716552369763
FDA02,15.413533354490042,No Fat,0.11993056647356015,Household,89.92135543876844,OUT055,1993,Very High,Rural,Supermarket,324.61846756269307
FDX02,19.04380112575747,Regular,0.1785663022021194,Vegetables,152.55417375747925,OUT046,2001,High,Rural ,Grocery Store,565.6421454653953
DRC09,19.073038305641933,low fat ,0.020904490005642488,Fruits and Veggies,,OUT023,1991,High,Tier 1,DCO ,60.0
FDN13,9.649546582786135,Regular,0.07017349876673445,Meat,50.09208434035412,OUT013,1992,Very High,Tier 3,DCO,60.0
FDX10,10.138168363841107,low fat,0.0314256060559273,Meat,153.01179553835235,OUT059,2001,High,Tier 1,Supermarket,295.96284131391855
FDN02,17.79097694365977,reg,0.11592259676048536,Breads,58.42164821570704,OUT036,1999,High,Tier 3,Supermarket,60.0
FDN17,13.457353240325016,No Fat,0.033645539715113346,Dairy,139.31735697896366,OUT016,2001,Very High,Rural,Grocery Store,76.37716188109573
FDX02,11.62230373467346,Low Fat,0.17078253133151214,Dairy,116.55434186467446,OUT006,1990,Small,Tier 2,Shopping Complex,781.7147096254887
FDA15,12.794944995989793,Low Fat,0.02479680556221498,Fruits and Veggies,169.89969967487596,OUT027,1995,High, Rural ,Supermarket,1218.51434100277
DRC04,8.043801061982514,No Fat,0.05540081178280508,Breakfast,178.0489883978251,OUT024,1999,Small,Tier 2,DCO,747.382718546477
FDA14,5.522194173577955,low fat,0.08555545749489384,Canned,111.98413673818743,OUT046,1996,Very High,Tier 3,Supermarket,404.763912318141
FDX01,14.54651252987276,low fat ,0.0753122254123617,Others,157.88562198914602,OUT056,1990,,Rural,Supermarket,463.3813007556552
FDA01,14.764665689282541,Zero Fat,0.04223717776521936,Dairy,91.32141028737101,OUT030,1994,Medium,Tier 1,Hypermarket,471.9531734881903
FDA09,19.79258494060301,low fat,0.06837247020056562,Meat,175.36827017864746,OUT020,2001,,Tier 1,Hypermarket,593.9537217431287
FDN03,8.22284305134926,No Fat,0.07424348636801369,Dairy,,OUT008,2004,Very High,Tier 1,Grocery Store,
FDN12,8.381647424297066,reg,0.10120179441497841,Snack Foods,176.84721657294716,OUT054,2005,Medium,Tier 1,Shopping Complex,1461.3422049536778
FDA17,18.06797276140788,Regular,0.03425586224861753,Meat,134.16694927371117,OUT017,2002,Medium,Rural,Shopping Complex,1214.506025480414
FDX10,9.314102945066086,reg,0.04621421037337826,Breads,229.86550519757776,OUT003,2002,Tiny,Tier 1,DCO,1686.6697953183284
FDN16,17.028722608363374,Regular,0.145927774435112,Baking Goods,260.13082528120003,OUT055,1996,Mega,Tier 1,DCO,1575.854635397041
DRC02,11.493426808310035,Low Fat,0.1401117494107886,Meat,190.92975616106293,OUT004,1992,Very High,Tier 2,Supermarket,1237.3953829216573
FDX01,19.327656491179006,Regular,0.16508541663805862,Meat,79.81551233865612,OUT047,1996,Medium,Tier 1,Grocery Store,669.2224640683139
